Keyword,title,price,raw_price,rating,Reviews,platform,position,Delivery,Link,thumbnail,Data_Source,brand,rank,visibility_score,top_10_products,price_range
office chair ergonomic,HP office chair ergonomic Model 603,36225.0,,3.7,3241,croma,,2 Days,,,CSV,HP,14,7.142857142857142,False,Luxury
microwave oven convection,Samsung microwave oven convection Model 524,22546.5,,4.7,1294,amazon,,Free Delivery,,,CSV,Samsung,4,25.0,True,Premium
power bank fast charging,Samsung power bank fast charging Model 402,26131.0,,3.9,3070,croma,,Free Delivery,,,CSV,Samsung,12,8.333333333333332,False,Luxury
microwave oven convection,Dell microwave oven convection Model 877,2507.0,,4.7,3446,flipkart,,Free Delivery,,,CSV,Dell,4,25.0,True,Mid Range
men running shoes,Dell men running shoes Model 536,2176.0,,3.8,2031,croma,,5 Days,,,CSV,Dell,13,7.6923076923076925,False,Mid Range
power bank fast charging,Samsung power bank fast charging Model 562,5331.0,,3.9,4124,reliance digital,,5 Days,,,CSV,Samsung,12,8.333333333333332,False,Premium
air fryer India,Philips air fryer India Model 259,23754.5,,2.8,1761,croma,,5 Days,,,CSV,Philips,23,4.3478260869565215,False,Premium
office chair ergonomic,Philips office chair ergonomic Model 836,4564.0,,3.0,1540,amazon,,Free Delivery,,,CSV,Philips,21,4.761904761904762,False,Mid Range
microwave oven convection,Boat microwave oven convection Model 588,21830.0,,4.0,126,croma,,Free Delivery,,,CSV,Boat,11,9.090909090909092,False,Premium
office chair ergonomic,Puma office chair ergonomic Model 591,19233.0,,4.6,3911,reliance digital,,5 Days,,,CSV,Puma,5,20.0,True,Premium
men running shoes,Boat men running shoes Model 859,20381.0,,3.7,684,amazon,,2 Days,,,CSV,Boat,14,7.142857142857142,False,Premium
office chair ergonomic,Puma office chair ergonomic Model 417,8744.0,,4.9,3832,croma,,2 Days,,,CSV,Puma,2,50.0,True,Premium
power bank fast charging,Dell power bank fast charging Model 575,26131.0,,4.5,4367,croma,,Free Delivery,,,CSV,Dell,6,16.666666666666664,True,Luxury
power bank fast charging,Sony power bank fast charging Model 896,5150.0,,5.0,2220,croma,,2 Days,,,CSV,Sony,1,100.0,True,Premium
air fryer India,Philips air fryer India Model 339,45304.0,,2.7,1761,reliance digital,,2 Days,,,CSV,Philips,24,4.166666666666666,False,Luxury
men running shoes,Philips men running shoes Model 418,9160.0,,3.7,2887,amazon,,5 Days,,,CSV,Philips,14,7.142857142857142,False,Premium
power bank fast charging,LG power bank fast charging Model 382,10945.0,,2.9,3032,amazon,,Free Delivery,,,CSV,LG,22,4.545454545454546,False,Premium
microwave oven convection,HP microwave oven convection Model 409,17931.0,,2.9,4166,amazon,,2 Days,,,CSV,HP,22,4.545454545454546,False,Premium
office chair ergonomic,Puma office chair ergonomic Model 198,15160.0,,3.2,1275,flipkart,,2 Days,,,CSV,Puma,19,5.263157894736842,False,Premium
microwave oven convection,Samsung microwave oven convection Model 810,22546.5,,3.3,105,croma,,Free Delivery,,,CSV,Samsung,18,5.555555555555555,False,Premium
air fryer India,Sony air fryer India Model 266,45361.0,,3.1,2934,croma,,5 Days,,,CSV,Sony,20,5.0,False,Luxury
men running shoes,Puma men running shoes Model 233,22065.0,,4.2,4990,flipkart,,Free Delivery,,,CSV,Puma,9,11.11111111111111,True,Premium
power bank fast charging,Puma power bank fast charging Model 621,48199.0,,3.9,203,amazon,,2 Days,,,CSV,Puma,12,8.333333333333332,False,Luxury
microwave oven convection,LG microwave oven convection Model 479,22546.5,,3.6,1335,amazon,,5 Days,,,CSV,LG,15,6.666666666666667,False,Premium
men running shoes,Nike men running shoes Model 602,22310.0,,3.8,255,croma,,5 Days,,,CSV,Nike,13,7.6923076923076925,False,Premium
microwave oven convection,LG microwave oven convection Model 351,31911.0,,4.4,2073,reliance digital,,2 Days,,,CSV,LG,7,14.285714285714285,True,Luxury
office chair ergonomic,Nike office chair ergonomic Model 173,33852.0,,4.4,3965,amazon,,2 Days,,,CSV,Nike,7,14.285714285714285,True,Luxury
men running shoes,HP men running shoes Model 796,16321.0,,4.8,4474,flipkart,,5 Days,,,CSV,HP,3,33.33333333333333,True,Premium
power bank fast charging,Puma power bank fast charging Model 343,889.0,,4.9,3557,reliance digital,,5 Days,,,CSV,Puma,2,50.0,True,Mid Range
microwave oven convection,Nike microwave oven convection Model 438,1670.0,,3.9,1982,amazon,,2 Days,,,CSV,Nike,12,8.333333333333332,False,Mid Range
office chair ergonomic,Sony office chair ergonomic Model 955,28760.0,,3.6,2169,flipkart,,2 Days,,,CSV,Sony,15,6.666666666666667,False,Luxury
microwave oven convection,Nike microwave oven convection Model 917,4484.0,,3.0,3422,reliance digital,,5 Days,,,CSV,Nike,21,4.761904761904762,False,Mid Range
air fryer India,Dell air fryer India Model 250,25576.0,,2.9,1041,flipkart,,5 Days,,,CSV,Dell,22,4.545454545454546,False,Luxury
power bank fast charging,Boat power bank fast charging Model 977,26131.0,,3.3,2070,amazon,,5 Days,,,CSV,Boat,18,5.555555555555555,False,Luxury
microwave oven convection,Dell microwave oven convection Model 272,22546.5,,4.5,351,reliance digital,,5 Days,,,CSV,Dell,6,16.666666666666664,True,Premium
air fryer India,LG air fryer India Model 797,10526.0,,4.7,4373,reliance digital,,2 Days,,,CSV,LG,4,25.0,True,Premium
office chair ergonomic,LG office chair ergonomic Model 187,7370.0,,4.9,324,flipkart,,5 Days,,,CSV,LG,2,50.0,True,Premium
power bank fast charging,LG power bank fast charging Model 927,5380.0,,2.6,1069,croma,,Free Delivery,,,CSV,LG,25,4.0,False,Premium
office chair ergonomic,Boat office chair ergonomic Model 251,10118.0,,3.7,2270,amazon,,2 Days,,,CSV,Boat,14,7.142857142857142,False,Premium
men running shoes,Philips men running shoes Model 769,6357.0,,3.3,255,reliance digital,,5 Days,,,CSV,Philips,18,5.555555555555555,False,Premium
power bank fast charging,Dell power bank fast charging Model 326,35283.0,,3.8,4008,amazon,,2 Days,,,CSV,Dell,13,7.6923076923076925,False,Luxury
men running shoes,Dell men running shoes Model 450,2830.0,,2.9,3675,amazon,,2 Days,,,CSV,Dell,22,4.545454545454546,False,Mid Range
power bank fast charging,LG power bank fast charging Model 330,28981.0,,3.8,4349,croma,,2 Days,,,CSV,LG,13,7.6923076923076925,False,Luxury
office chair ergonomic,LG office chair ergonomic Model 365,42218.0,,3.0,138,amazon,,Free Delivery,,,CSV,LG,21,4.761904761904762,False,Luxury
men running shoes,LG men running shoes Model 272,20795.0,,4.1,1456,flipkart,,2 Days,,,CSV,LG,10,10.0,True,Premium
microwave oven convection,HP microwave oven convection Model 260,10399.0,,4.8,1364,croma,,2 Days,,,CSV,HP,3,33.33333333333333,True,Premium
power bank fast charging,Puma power bank fast charging Model 256,26131.0,,3.9,3436,amazon,,Free Delivery,,,CSV,Puma,12,8.333333333333332,False,Luxury
men running shoes,HP men running shoes Model 980,22136.0,,4.4,2269,croma,,Free Delivery,,,CSV,HP,7,14.285714285714285,True,Premium
power bank fast charging,Boat power bank fast charging Model 625,38621.0,,3.5,2443,amazon,,2 Days,,,CSV,Boat,16,6.25,False,Luxury
office chair ergonomic,HP office chair ergonomic Model 850,47613.0,,4.9,4909,croma,,5 Days,,,CSV,HP,2,50.0,True,Luxury
microwave oven convection,Boat microwave oven convection Model 255,9089.0,,4.1,3138,croma,,5 Days,,,CSV,Boat,10,10.0,True,Premium
air fryer India,Sony air fryer India Model 404,10311.0,,2.9,2685,croma,,Free Delivery,,,CSV,Sony,22,4.545454545454546,False,Premium
air fryer India,Philips air fryer India Model 313,38075.0,,3.5,1080,amazon,,Free Delivery,,,CSV,Philips,16,6.25,False,Luxury
microwave oven convection,Puma microwave oven convection Model 765,8497.0,,2.6,1408,croma,,2 Days,,,CSV,Puma,25,4.0,False,Premium
microwave oven convection,LG microwave oven convection Model 377,15541.0,,3.8,1848,reliance digital,,5 Days,,,CSV,LG,13,7.6923076923076925,False,Premium
power bank fast charging,Nike power bank fast charging Model 332,20043.0,,3.7,2355,flipkart,,2 Days,,,CSV,Nike,14,7.142857142857142,False,Premium
microwave oven convection,Puma microwave oven convection Model 583,33632.0,,4.5,,reliance digital,,Free Delivery,,,CSV,Puma,6,16.666666666666664,True,Luxury
men running shoes,Philips men running shoes Model 437,8752.0,,4.7,3962,amazon,,5 Days,,,CSV,Philips,4,25.0,True,Premium
microwave oven convection,Sony microwave oven convection Model 873,35455.0,,3.7,2825,flipkart,,5 Days,,,CSV,Sony,14,7.142857142857142,False,Luxury
microwave oven convection,Boat microwave oven convection Model 875,6446.0,,4.6,613,amazon,,2 Days,,,CSV,Boat,5,20.0,True,Premium
microwave oven convection,Sony microwave oven convection Model 369,4789.0,,4.6,589,amazon,,5 Days,,,CSV,Sony,5,20.0,True,Mid Range
men running shoes,Dell men running shoes Model 900,8466.0,,3.2,3377,croma,,2 Days,,,CSV,Dell,19,5.263157894736842,False,Premium
men running shoes,Philips men running shoes Model 503,46885.0,,4.4,986,amazon,,Free Delivery,,,CSV,Philips,7,14.285714285714285,True,Luxury
microwave oven convection,Sony microwave oven convection Model 912,22546.5,,4.0,1238,reliance digital,,2 Days,,,CSV,Sony,11,9.090909090909092,False,Premium
men running shoes,Samsung men running shoes Model 630,22065.0,,2.7,1756,amazon,,2 Days,,,CSV,Samsung,24,4.166666666666666,False,Premium
